C,Gamma,KFold_Accuracy
0.2,0.5,0.7860000000000001
0.2,0.8571428571428572,0.7953333333333333
0.2,1.2142857142857144,0.7833333333333334
0.2,1.5714285714285714,0.7773333333333332
0.2,1.9285714285714286,0.7606666666666667
0.2,2.2857142857142856,0.7419999999999999
0.2,2.642857142857143,0.7066666666666667
0.2,3.0,0.6860000000000002
0.30000000000000004,0.5,0.8
0.30000000000000004,0.8571428571428572,0.7973333333333333
0.30000000000000004,1.2142857142857144,0.8006666666666666
0.30000000000000004,1.5714285714285714,0.79
0.30000000000000004,1.9285714285714286,0.7913333333333333
0.30000000000000004,2.2857142857142856,0.7819999999999999
0.30000000000000004,2.642857142857143,0.7546666666666667
0.30000000000000004,3.0,0.72
0.4,0.5,0.7953333333333333
0.4,0.8571428571428572,0.8066666666666666
0.4,1.2142857142857144,0.8099999999999999
0.4,1.5714285714285714,0.7979999999999999
0.4,1.9285714285714286,0.7986666666666666
0.4,2.2857142857142856,0.7886666666666666
0.4,2.642857142857143,0.7766666666666667
0.4,3.0,0.7539999999999999
0.5,0.5,0.8053333333333332
0.5,0.8571428571428572,0.8026666666666668
0.5,1.2142857142857144,0.8099999999999999
0.5,1.5714285714285714,0.8086666666666668
0.5,1.9285714285714286,0.8026666666666665
0.5,2.2857142857142856,0.8033333333333333
0.5,2.642857142857143,0.7846666666666666
0.5,3.0,0.7686666666666666
0.6000000000000001,0.5,0.8053333333333335
0.6000000000000001,0.8571428571428572,0.812
0.6000000000000001,1.2142857142857144,0.8146666666666667
0.6000000000000001,1.5714285714285714,0.8140000000000001
0.6000000000000001,1.9285714285714286,0.8099999999999999
0.6000000000000001,2.2857142857142856,0.792
0.6000000000000001,2.642857142857143,0.8020000000000002
0.6000000000000001,3.0,0.7913333333333333
0.7,0.5,0.8006666666666667
0.7,0.8571428571428572,0.8166666666666667
0.7,1.2142857142857144,0.8113333333333334
0.7,1.5714285714285714,0.8126666666666666
0.7,1.9285714285714286,0.806
0.7,2.2857142857142856,0.806
0.7,2.642857142857143,0.8033333333333333
0.7,3.0,0.7946666666666666
0.8,0.5,0.812
0.8,0.8571428571428572,0.8086666666666666
0.8,1.2142857142857144,0.8166666666666667
0.8,1.5714285714285714,0.8013333333333333
0.8,1.9285714285714286,0.8093333333333333
0.8,2.2857142857142856,0.8160000000000001
0.8,2.642857142857143,0.8019999999999999
0.8,3.0,0.7993333333333333
0.9000000000000001,0.5,0.8126666666666666
0.9000000000000001,0.8571428571428572,0.8146666666666667
0.9000000000000001,1.2142857142857144,0.8140000000000001
0.9000000000000001,1.5714285714285714,0.8160000000000001
0.9000000000000001,1.9285714285714286,0.812
0.9000000000000001,2.2857142857142856,0.8206666666666667
0.9000000000000001,2.642857142857143,0.8126666666666666
0.9000000000000001,3.0,0.8013333333333333
1.0,0.5,0.8140000000000001
1.0,0.8571428571428572,0.8126666666666666
1.0,1.2142857142857144,0.8140000000000001
1.0,1.5714285714285714,0.8093333333333333
1.0,1.9285714285714286,0.8153333333333335
1.0,2.2857142857142856,0.8073333333333335
1.0,2.642857142857143,0.8106666666666665
1.0,3.0,0.8019999999999999
